"state_name","county_fips","county_name","val_acc_vacc","val_wearing_mask","votes_gop","votes_dem","total_votes","per_gop","per_dem","population","income"
"Virginia","51085","Hanover County","75.1941414","96.3589473","44318","25307","70967","0.624487438","0.356602364","107766","90824"
"Washington","53029","Island County","80.0977864","96.1700339","22746","29213","53925","0.421808067","0.54173389","85141","72173"
"Washington","53053","Pierce County","73.6414688","92.9705012","197730","249506","464081","0.426067863","0.537634594","904980","78779"
"Colorado","8101","Pueblo County","69.7917085","94.0280887","42252","43772","88299","0.478510515","0.495724753","168424","51075"
"Florida","12109","St. Johns County","69.1088476","88.671937","110946","63850","176622","0.628155043","0.361506494","264672","90839"
"Illinois","17019","Champaign County","78.3108383","91.3810174","35285","57067","95568","0.369213544","0.597135024","209689","53485"
"Indiana","18157","Tippecanoe County","75.6002675","89.234905","34581","35017","71448","0.484002351","0.490104692","195732","51228"
"Kansas","20091","Johnson County","86.1879348","91.9220111","155631","184259","349386","0.445441432","0.52737946","602401","91913"
"Louisiana","22071","Orleans Parish","73.5388664","97.1390725","26664","147854","177819","0.14995023","0.831485949","390144","45092"
"Maryland","24003","Anne Arundel County","77.9633052","97.0811743","127821","172823","309617","0.412835858","0.558183175","579234","100916"
"Massachusetts","25017","Middlesex County","88.653632","95.8247867","226956","617196","863577","0.262809223","0.714697126","1611699","106543"
"Michigan","26139","Ottawa County","69.4842189","93.3629605","100913","64705","168713","0.598134109","0.383521128","291830","69827"
"Mississippi","28059","Jackson County","56.219151","80.1549369","36295","17375","54623","0.664463687","0.318089449","143617","53414"
"North Carolina","37135","Orange County","83.7358534","96.3529708","20176","63594","84997","0.237373084","0.748191113","148476","74314"
"Ohio","39003","Allen County","44.1508346","77.7448622","33116","14149","48006","0.689830438","0.294733992","102351","58271"
"Pennsylvania","42045","Delaware County","77.547227","97.6063253","118532","206423","329006","0.360273065","0.62741409","566747","76783"
"Tennessee","47165","Sumner County","64.3858795","90.7212937","63454","27680","92630","0.685026449","0.298823275","191283","69391"
"Texas","48303","Lubbock County","68.6837774","87.9027645","78861","40017","120771","0.652979606","0.331346101","310569","54733"
"Texas","48355","Nueces County","63.8814491","87.4308967","64617","60925","127314","0.507540412","0.478541244","362294","56079"
"Virginia","51121","Montgomery County","78.6088072","95.9651236","20629","23218","45037","0.458045607","0.515531674","98535","58740"
"Alabama","1101","Montgomery County","68.7761385","95.0773391","33311","64529","99139","0.336002986","0.650894199","226486","52711"
"Alabama","1125","Tuscaloosa County","56.1914074","90.567957","51117","37765","90172","0.56688329","0.418810717","209355","52307"
"Arkansas","5031","Craighead County","61.0964345","82.4044165","25558","11921","38511","0.66365454","0.309547921","110332","47766"
"Arkansas","5143","Washington County","76.6734083","92.0910792","47504","43824","94266","0.503935671","0.464897206","239187","52158"
"Colorado","8001","Adams County","79.8537633","92.978974","95657","134202","236735","0.40406784","0.566887026","517421","75341"
"Delaware","10005","Sussex County","73.5389335","96.1402485","71230","56682","129352","0.550667945","0.438199641","234225","64839"
"Florida","12033","Escambia County","62.717922","79.3432731","96674","70929","170372","0.56742892","0.416318409","318316","52822"
"Florida","12057","Hillsborough County","66.9321732","92.2742504","327398","376367","712063","0.459787968","0.528558569","1471968","61133"
"Georgia","13067","Cobb County","75.6111423","90.0369325","165436","221847","393728","0.420178397","0.563452434","760141","79622"
"Illinois","17089","Kane County","74.9335659","93.7298711","96775","130166","231876","0.417356691","0.561360382","532403","84311"
"Indiana","18081","Johnson County","71.1740654","90.5761291","51219","24736","77618","0.659885594","0.318688964","158167","74427"
"Indiana","18163","Vanderburgh County","63.4997366","94.3508862","41844","34415","77662","0.538796323","0.443138214","181451","51603"
"Indiana","18167","Vigo County","63.5308341","89.5760933","24545","18123","43594","0.563036198","0.415722347","107038","48082"
